                         Project 3

              Desired                 Actual
Time    Px      Py      Pz      Px      Py      Pz
----   -----   -----   -----   -----   -----   -----
0.00     0.0     0.0     0.0     0.0     0.0     0.0
0.05     0.0     0.0     0.0     0.0     0.0     0.0
0.10     0.0     0.0     0.0     0.0     0.0     0.0
0.15     0.0     0.0     0.0     0.0     0.0     0.0
0.20     0.0     0.0     0.0     0.0     0.0     0.0
0.25     0.0     0.0     0.0     0.0     0.0     0.0
0.30     0.0     0.0     0.0     0.0     0.0     0.0
0.35     0.0     0.0     0.0     0.0     0.0     0.0
0.40     0.0     0.0     0.0     0.0     0.0     0.0
0.45     0.0     0.0     0.0     0.0     0.0     0.0
0.50     0.0     0.0     0.0     0.0     0.0     0.0
