                             Project 2

Time    Px      Py      Pz      a1      a2      a3      a4      a5
----   -----   -----   -----   -----   -----   -----   -----   -----
0.05   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.10   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.15   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.20   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.25   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.30   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.35   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.40   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.45   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.50   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.55   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.60   275.0     0.0    54.0   -6000   -2576      52     707    -707   
0.65   275.0     0.0    54.0   -6000   -2576      52     707    -707   
