,,,,,Relative Position (rads),,,,,,Absolute Position (rads),,,,,,Rate (rads/sec),,,,,,Torque (N-m),,,,,
Time,Motor Voltage (V),Spring Constant (N/rad), Damper Constant (N/rad/s), Gear Ratio,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6

0,12,6,0.04,12,0,0,0,0,0,0,0,1.0472,1.0472,0,0,1.0472,0,0,0,0,0,0,0,0,0,0,0,0
0.1,12,6,0.04,12,0.0421415,-0.00235679,-0.0023444,0.146315,0.00452289,-0.00235131,1.33634,2.42804,2.42803,1.23217,1.37396,2.42804,3.24721,12.394,12.3968,3.04209,-0.540602,12.3953,0.666849,0.033985,0.0339505,1.3001,0.592649,0.0339696
0.2,12,6,0.04,12,0.00253761,0.0277025,0.238743,0.00253737,0.00253761,0.126859,2.68155,3.70358,3.49254,2.68155,2.68155,3.60442,11.3608,13.3926,23.2539,11.3607,11.3608,19.7303,0.0181474,0.0878631,0.959659,0.0181474,0.0181474,0.429298
0.3,12,6,0.04,12,0.00194079,0.00183326,0.00183326,0.00272185,0.00224835,0.00183326,4.18151,5.22882,5.22882,4.18073,4.18121,5.22882,16.6733,16.6509,16.6509,16.8393,16.7387,16.6509,-0.000813154,-0.000560487,-0.000560487,-0.00276285,-0.00158338,-0.000560487
0.4001,12,6,0.04,12,0.0405482,-0.000336484,-0.000333146,0.13244,0.0126199,-0.00033553,5.60969,0.414585,0.414582,5.51779,5.63761,0.414584,4.67442,12.765,12.7657,4.77921,4.37011,12.7652,0.600062,0.0311292,0.0311214,1.14722,0.444665,0.0311275
0.5001,12,6,0.04,12,0.00338443,0.00517948,0.016101,0.00338443,0.00338443,0.00973423,0.815893,1.8613,1.85038,0.815893,0.815893,1.85674,16.7653,17.1462,19.4517,16.7653,16.7653,18.1076,0.00136808,-0.00309688,-0.0297873,0.00136808,0.00136808,-0.0142224
0.6002,12,6,0.04,12,-0.00219136,0.0210542,0.0982217,-0.00216657,-0.00217515,-0.00218778,2.34086,3.36481,3.28765,2.34083,2.34084,3.38806,15.5033,8.84116,8.62958,15.508,15.5061,15.5025,-0.0444358,0.361523,0.832992,-0.0444764,-0.0444506,-0.0443836
0.7002,12,6,0.04,12,0.0197181,0.00363894,0.00363894,0.113952,0.0580377,0.00363894,3.74767,4.81095,4.81095,3.65344,3.70935,4.81095,17.3574,14.1374,14.1374,32.7852,23.4533,14.1374,-0.00240409,0.0299201,0.0299201,-0.0541164,-0.0163234,0.0299201
0.8003,12,6,0.04,12,0.00100602,0.095986,0.00128998,0.00100602,0.0423306,0.00121559,5.25617,6.20839,0.0199051,5.25617,5.21485,0.0199795,14.419,13.3352,14.4767,14.4191,-11.6461,14.4609,0.00491078,0.618142,0.00430884,0.00490891,1.29546,0.00449481
0.9003,12,6,0.04,12,0.00279972,0.148591,0.00279757,0.00279972,0.0457675,0.0978341,6.25964,0.87786,1.02365,6.25964,6.21667,0.928617,12.8957,22.2129,12.8969,12.8957,18.8524,8.3746,0.013396,0.515454,0.0133375,0.0133958,0.0329368,0.764448
1.0003,12,6,0.04,12,0.0706617,0.000609309,0.000609309,0.000619084,0.190145,0.000609309,1.41147,2.52873,2.52873,1.48152,1.29199,2.52873,13.9911,12.9245,12.9245,12.9253,23.6997,12.9245,0.385416,0.00776692,0.00776692,0.00779162,0.71397,0.00776692
1.1004,12,6,0.04,12,0.0104795,0.0105603,0.0104249,0.0104795,0.0501199,0.0127652,2.98349,4.03061,4.03075,2.98349,2.94385,4.02841,14.0701,14.0944,14.0661,14.0701,11.7317,14.5638,0.089221,0.0887336,0.0890546,0.089221,0.420601,0.0831896
1.2004,12,6,0.04,12,-0.000829499,0.176513,0.00126167,0.00125905,-0.00817661,0.185849,4.35699,5.22685,5.4021,4.3549,4.36434,5.21751,12.3543,12.8309,11.7888,11.7898,14.25,10.7968,-0.0317053,1.01328,0.00346263,0.00340867,-0.151617,1.15067
1.3004,12,6,0.04,12,0.0202741,-0.0150741,0.00213786,0.00209327,0.0155859,-0.010031,5.8136,0.612966,0.595754,5.83178,5.81829,0.607923,20.3099,13.9133,16.7009,16.6964,19.4384,14.4973,-0.0341698,0.0096031,0.00137049,0.00128227,-0.027441,0.0165028
1.4004,12,6,0.04,12,0.00110819,0.00133397,0.352217,0.00110819,0.00110819,0.354977,0.441915,1.48889,1.13801,0.441915,0.441915,1.13525,7.03949,7.08706,9.52079,7.03949,7.03949,6.58362,0.00417243,0.00362426,2.01158,0.00417243,0.00417243,2.14562
1.5005,12,6,0.04,12,0.00170148,0.00172127,0.00172127,0.00263036,0.00170148,0.00172127,1.75973,2.80691,2.80691,1.7588,1.75973,2.80691,16.6218,16.6179,16.6181,16.8187,16.6218,16.6181,-0.00068663,-0.000408214,-0.000418896,-0.00298659,-0.00068663,-0.000418896
1.6005,12,6,0.04,12,0.0010469,0.000984674,0.00117541,0.100944,0.00106597,0.00920916,3.26698,4.31424,4.31405,3.16709,3.26696,4.30602,15.6092,15.6045,15.6449,-10.2437,15.6129,17.3198,-0.0317969,-0.0319825,-0.0324552,1.6017,-0.0318326,-0.0512467
1.7005,12,6,0.04,12,0.00236811,0.00276937,0.0544356,0.0024177,0.170417,0.00233259,4.65235,5.69915,5.64748,4.6523,4.4843,5.69958,13.4627,13.5538,22.2255,13.4731,11.7563,13.461,0.0129378,0.0117016,-0.02517,0.0128198,1.08949,0.0127921
1.8005,12,6,0.04,12,0.00300299,0.00191843,0.00191843,0.279244,0.252702,0.0959622,5.75044,0.515543,0.515543,5.4742,5.50075,0.421499,8.29472,8.06571,8.06571,10.2624,10.7798,8.28586,0.0078665,0.0105194,0.0105194,1.58661,1.40666,0.565976
1.9005,12,6,0.04,12,0.00144794,0.00133994,0.00133994,0.00144794,0.0641482,0.00136092,0.890028,1.93734,1.93734,0.890028,0.827328,1.93731,15.6146,15.6092,15.609,15.6146,-8.67416,15.6138,-0.00803467,-0.00846838,-0.00845911,-0.00803467,1.33972,-0.00852598
2.0006,12,6,0.04,12,0.00700087,0.144191,0.00721139,0.00700087,0.00561041,0.365925,2.14112,3.05112,3.1881,2.14112,2.14251,2.82939,9.49249,-3.96086,9.50616,9.49249,7.42962,13.4507,0.0298072,1.39108,0.0305233,0.0298073,0.103979,2.02502
2.1007,12,6,0.04,12,0.0309799,-0.020348,0.00183255,0.00192911,0.0754021,-0.00219958,3.49787,4.5964,4.57422,3.52692,3.45345,4.57825,21.0876,14.9198,15.5957,15.5937,19.0085,14.7529,-0.0382042,-0.0994603,0.00658671,0.00724934,0.311493,0.0161058
2.2007,12,6,0.04,12,0.00105583,0.0177573,0.418344,0.00105583,0.00105392,0.322868,4.52284,5.55334,5.15276,4.52284,4.52285,5.24823,6.37566,9.04615,8.00875,6.37566,6.37538,5.71427,0.00351606,-0.00309498,2.44192,0.00351606,0.00351557,1.96085
2.3008,12,6,0.04,12,0.00230484,0.00238185,0.00238376,0.0191143,0.00230484,0.00238185,5.71094,0.474875,0.474873,5.69413,5.71094,0.474875,16.5236,16.5247,16.5251,19.9938,16.5236,16.5248,0.00248407,0.00290485,0.00289921,-0.035466,0.00248407,0.00289845
2.4009,12,6,0.04,12,0.00276247,0.00233975,0.00274792,0.00276247,0.0809294,0.00233975,0.887551,1.93517,1.93477,0.887551,0.809384,1.93517,15.7004,15.6963,15.7831,15.7004,23.2071,15.6963,0.00620778,0.0038357,0.00281203,0.00620778,0.174942,0.0038357
2.5009,12,6,0.04,12,-0.00216005,0.0977361,0.00807168,-0.00548266,-0.00216005,-0.00212501,2.46555,3.41285,3.50252,2.46887,2.46555,3.51271,14.949,21.5486,9.95875,14.2479,14.949,14.9546,-0.00636206,0.329031,0.254639,0.00174765,-0.00636206,-0.00637669
2.601,12,6,0.04,12,0.000828558,0.000821644,0.000817829,0.454629,0.360783,0.000821644,3.42397,4.47118,4.47118,2.97017,3.06401,4.47118,5.51671,5.51763,5.51708,7.36991,5.83016,5.51763,0.00479314,0.0047148,0.00471381,2.65347,2.15198,0.0047148
2.7011,12,6,0.04,12,0.000513356,0.0532446,0.00458435,0.000513356,0.000513356,0.000514072,4.79269,5.78716,5.83582,4.79269,4.79269,5.83989,16.2358,1.99085,17.0979,16.2358,16.2358,16.2357,-0.0260829,0.860103,-0.0361407,-0.026083,-0.026083,-0.0260758
